Standard,ENG,POR,2020,2021,2022,2023,2024,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Census_year,Census_year,Ano_censo,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,,,,,,,,
Code,Code,Código,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES,CO_IES
Name,Name,Nome,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES,NO_IES
Region,Region,Região,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,CO_REGIAO,CO_REGIAO,CO_REGIAO,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES,NO_REGIAO_IES
Meso-region,Meso-region,Meso-região,NO_MESORREGIAO_IES,NO_MESORREGIAO_IES,NO_MESORREGIAO_IES,NO_MESORREGIAO_IES,NO_MESORREGIAO_IES,,,,,,,,,,,
Micro-region,Micro-region,Micro-região,NO_MICRORREGIAO_IES,NO_MICRORREGIAO_IES,NO_MICRORREGIAO_IES,NO_MICRORREGIAO_IES,NO_MICRORREGIAO_IES,,,,,,,,,,,
State,State,UF,SG_UF_IES,SG_UF_IES,SG_UF_IES,SG_UF_IES,SG_UF_IES,CO_UF,CO_UF,CO_UF,SGL_UF_IES,SGL_UF_IES,SGL_UF_IES,SGL_UF_IES,SGL_UF_IES,SGL_UF_IES,SGL_UF_IES,SGL_UF_IES
City,City,Município,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES,CO_MUNICIPIO_IES
Capital,Capital,Capital,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES,IN_CAPITAL_IES
ZIP_code,ZIP_code,CEP,NU_CEP_IES,NU_CEP_IES,NU_CEP_IES,NU_CEP_IES,NU_CEP_IES,,,,,,,,,,,
